Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","61094","Terminated","Lloyd Inc","604 W Thomas Ave","Po Box 130","Shenandoah","IA","	51601-1744","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and PR.","D-1392-2012","Class II","Thyro-Tab 0.050mg., packaged in bulk drums for repackaging.  The firm name on the label is Lloyd Pharmaceutical, Shenandoah, IA.","1,924,297 bulk tablets","Subpotent (Single Ingredient Drug): Low assay at the 9-month test interval.","02/03/2012","06/22/2012","07/30/2013","07/04/2012","Lot HB06311"
"Drugs","No","","61094","Terminated","Lloyd Inc","604 W Thomas Ave","Po Box 130","Shenandoah","IA","	51601-1744","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and PR.","D-1393-2012","Class II","Levothroid (levothyroxine sodium tablets, USP), 50 mcg., packaged in 100-ct. bottles, RX, NDC 0456-1321-01.  Manufactured for Forest Pharmaceuticals, Inc., Subsidiary of Forest Laboratories, Inc., St. Louis, MO, by Lloyd Pharmaceutical, Shenandoah, IA.","19,166 bottles","Subpotent (Single Ingredient Drug): Low assay at the 9-month test interval.","02/03/2012","06/22/2012","07/30/2013","07/04/2012","Lot 1087589"
"Drugs","No","","61252","Terminated","Lloyd Inc","604 W Thomas Ave","N/A","Shenandoah","IA","	51601-1744","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-1394-2012","Class II","Levothroid (levothyroxine sodium tablets, USP), 75 mcg., 100-count bottles, Rx only, NDC 0456-1322-01,   Manufactured for Forest Pharmaceuticals, Inc., Subsidiary of Forest Laboratories, Inc., St. Louis, MO, by Lloyd Pharmaceutical, Shenandoah, Iowa 51601","19,039 bottles","Subpotent (Single Ingredient Drug): Low assay at the 6-month test interval.","02/24/2012","06/22/2012","07/30/2013","07/04/2012","LOT NO.1092045"
"Drugs","No","","61518","Terminated","Quadrant Chemical Corporation","3309 W Kingsley Rd","N/A","Garland","TX","	75041-2207","United States","Voluntary: Firm initiated","E-Mail","Maine","D-1380-2012","Class III","DermaZinc Spray, 0.25% zinc pyritione, topical  OTC, 4 fl oz bottle Distributed By: Dermallogix Partners, Inc. Scarborough, ME 04070","4800 bottles","Subpotent (Single Ingredient Drug): The firm is recalling the product because the product is subpotent and does not meet the labeled 0.25% zinc pyrithione level.","03/20/2012","06/14/2012","09/13/2012","06/20/2012","Lot 022110-01"
"Drugs","No","","61664","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide","D-1396-2012","Class II","Mefloquine HCL Tablets, 250 mg, 5 tablets per blister pack; 5 Blister packs per carton, Rx only, Teva Pharmaceuticals USA Sellersville, PA 18960, Individual blister pack: NDC 0555-0171-88, 25 Unit-Dose Tablets (5x5) Carton: NDC 0555-0171-78","4188 cartons (5 X 5 blisterpacks)","Tablet Thickness: Product is being recalled due to the potential of being underweight or overweight.","04/02/2012","06/26/2012","03/22/2013","07/04/2012","Lot # 34000741A;  Expiration date: 7/2013"
"Drugs","No","","61683","Terminated","Meda Pharmaceuticals Inc.","265 Davidson Ave Ste 300","N/A","Somerset","NJ","	08873-4120","United States","Voluntary: Firm initiated","Letter","Nationwide","D-1418-2012","Class II","Prefera OB One Gel Capsules, 30 softgels, Rx Only, Manufactured by: IVC industries, Inc. Irving ton, NJ 07111, For: Alaven Pharmaceutical LLC Marietta, GA 30062, NDC 68220-086-30    ","478,569 Softgel Capsules (172,740 trade plus 305,829 samples).","Labeling: Presence of Undeclared Color Additive; The product is being recalled because several inactive ingredients were not included in the labeling for this product: Undeclared D&C Red #33, FD&C Blue #1, Titanium Dioxide Suspension, Purified Water USP.","10/17/2011","07/13/2012","02/08/2017","07/25/2012","Lot 249814 Samples  Lot 249816 samples  Lot 260393 exp 4/30/20012  Lot 255345 exp 11/30/2011  Lot 000001 exp 8/31/2012  Lot 261827 exp 5/31/2012  Lot 50004 exp 11/30/2012  Lot 50005 exp 11/30/2012  Lot 500007 exp 12/31/2012  Lot 000002 exp 9/30/20012"
"Drugs","No","","61714","Terminated","Luitpold Pharmaceuticals, Inc.","One Luitpold Drive","P.O. Box 9001","Shirley","NY","	11967-9001","United States","Voluntary: Firm initiated","Letter","Nationwide","D-1421-2012","Class II","Epinephrine Injection, USP, 1:1000 (1 mg/mL), 25 x 1 mL Ampules, For SC and IM Use, For IV and IC Use after Dilution,  Rx Only, American Regent, Inc., Shirely, NY 11967 --NDC 0517-1071-25","63,750 ampules","Presence of Particulate Matter","04/24/2012","07/16/2012","04/11/2017","07/25/2012","Lot #1395 Exp: July 2012"
"Drugs","No","","61759","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide","D-1384-2012","Class III","Jolessa (levonorgestrel/ethinyl estradiol tablets, USP) 0.15 mg/0.03 mg, each Dispenser contains 91 tablets, 91 Day Regimen, Rx Only, Shaping Women's Health, Manufactured by: Barr Laboratories, Inc., Pomona, NY 10970, Manufactured for: Teva Pharmaceuticals USA, Sellersville, PA 18960, NDC 0555-9123-66.","40,750 Dispensers","Contraceptive Tablets Out of Sequence: This recall has been initiated due to the potential that some regimen packages may not contain placebo tablets.","04/23/2012","06/19/2012","04/23/2013","06/27/2012","Lot #'s 33801826A, Exp 1/2013; 33802144A; 33802323A, Exp 3/2013; 33802519A, Exp 6/2013"
"Drugs","No","","61776","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide","D-1397-2012","Class II","Zeosa (norethindrone and ethinyl estradiol tablets USP, (chewable), 0.4 mg/0.035 mg, and ferrous fumarate tablets USP, (chewable) 75 mg), 3 Blister Cards, 28 Tablets Each, Rx only, TEVA Pharmaceuticals USA, Sellersville, PA 18960, NDC 0093-2090-28 and 0093-2090-58, cartons containing three (3) individual blister packs","100,761 cartons","Impurities/Degradation:  This recall is being carried out due to the potential for some lots not meeting impurity specifications.","05/02/2012","06/26/2012","04/10/2013","07/04/2012","Lot #'s 33800226A, Exp 7/2012; 33800333A, Exp 10/2012; 33800870A, Exp 10/2012; 33802533A, Exp 4/2013; and 33802720A, Exp 8/2013"
"Drugs","No","","61791","Terminated","Endo Pharmaceuticals, Inc.","100 Endo Blvd","N/A","Chadds Ford","PA","	19317","United States","Voluntary: Firm initiated","Letter","Nationwide and Puerto Rico","D-1381-2012","Class III","Endocet (oxycodone and acetaminophen) tablets, USP, 10 mg/650 mg, 100-count tablets per bottle, Rx only, Manufactured for: Endo Pharmaceuticals Inc., Chadds Ford, PA, By: Novartis, Lincoln, NE  68501; NDC 60951-797-70.","11,764 bottles","Adulterated Presence of Foreign Tablets: Customer complaint that some Endocet 10 mg/325 mg tablets were found mixed in a bottle with Endocet 10 mg/650 mg tablets.","05/07/2012","06/14/2012","06/21/2013","06/20/2012","Lot #: 402794NV, Exp 12/13"
