Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1480-2022","Class II","MILK OF MAGNESIA USP, 2400 mg/30 mL, Magnesium Hydroxide, 30 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI 48152, NDC 0904-6846-73.","502,600 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot #  20072A, 20075A, EXP Jul. 2022; 20087A, EXP Aug. 2022; 20089A, 20090A, EXP Sep. 2022; 20100A, 20102A, EXP Oct. 2022; 20106A, 20107A EXP Nov. 2022; 20109A, EXP Dec. 2022; 21010A, EXP Jan. 2023; 21028A, 21030A, 21032A, EXP Mar. 2023; 21045A,  21046A, EXP Apr. 2023; 21054A, EXP May. 2023; 21078A, 21079A, 21085A, EXP Jul. 2023; 21088A, EXP Aug. 2023"
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1481-2022","Class II","MILK OF MAGNESIA USP, 2400 mg/10 mL, Magnesium Hydroxide, 30 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI 48152, NDC 0904-6840-72.","92,200 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20085A, EXP Aug. 2022; 20099A, EXP Oct. 2022; 21039A, 21052A, EXP May. 2023; 21114A, EXP Oct. 2023; 21130A, 21132A, EXP Dec. 2023."
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1482-2022","Class II","Magnesium Hydroxide 1200 mg, Aluminum Hydroxide 1200 mg, Simethicone 120 mg per 30 mL, 30 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI 48152, NDC 0904-6838-73","521,700 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20077A,  20080A, 20082A, EXP Aug. 2022; 21016A, EXP Feb. 2023; 21026A, EXP Mar. 2023; 21042A, 21047A, 21050A, EXP Apr. 2023; 21057A, 21059A, 21060A,EXP May. 2023; 21061A, 21067A, 21070A, 21072A, EXP Jun. 2023; 21095A, 21097A, 21099A, EXP Sep. 2023; 21107A, 21109A, 21111A, 21113A, EXP Oct. 2023; 21138A, EXP Dec. 2023; 22002A, 22004A, 22005A, EXP Jan. 2024"
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1483-2022","Class II","Magnesium Hydroxide 2400 mg, Aluminum Hydroxide 2400 mg, Simethicone 240 mg MAX, per 30 mL Oral Suspension, 30 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI 48152, NDC 0904-6839-73","88,500 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20084A, 20086A, EXP Aug. 2022; 21074A, 21077A, EXP Jul. 2023"
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1484-2022","Class II","Acetaminophen Oral Solution 160 mg / 5 mL, 5 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr., Suite 233, Livonia, MI 48152,  NDC 0904-6738-70","290,270 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot# 20078A, 20083A EXP Aug. 2022; 20092A, EXP Sep. 2022; 21058A, 21048C, EXP May. 2023; 21063C, EXP Jun. 2023; 21093B, EXP Sep. 2023; 22001C, EXP Jan. 2024; 22017A, EXP Mar. 2024."
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1485-2022","Class II","Acetaminophen Oral Solution, 325 mg / 10.15 mL, 10.15 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr. Suite 233, Livonia, MI 48152, NDC 0904-6739-71","848,500 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20062A, 20067A, EXP Jun. 2022; 20092A, 20093A, EXP Sep. 2022; 20101A, 21110A, EXP Oct. 2022; 20108A, EXP Nov. 2022; 21012A, EXP Jan. 2023; 21044A, 21048B, EXP Apr. 2023; 21053A, EXP May. 2023; 21063B, 21068B, EXP Jun. 2023; 21084B, EXP Jul. 2023; 21090A, EXP Aug. 2023; 21119A, EXP Nov. 2023; 21122B, EXP Dec. 2023; 22001B, 22006A, EXP Jan. 2024; 22017B, EXP Mar. 2024"
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1486-2022","Class II","Acetaminophen Oral Solution 650 mg / 20.3 mL, 20.3 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr. Suite 233, Livonia, MI 48152, NDC 0904-6820-76","3,507,740 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20064A, 20066A, EXP Jun. 2022; 20069A, 20073A, EXP Jul. 2022; 20094A, 20094B, 20095A, 20095B, EXP Sep. 2022; 20103A, EXP Oct. 2022; 20105A, EXP Nov. 2022; 20111A, 20111B, EXP Dec. 2022; 21005A, 21005B, EXP Jan. 2023; 21019A, 21019B, EXP Feb. 2023; 21035A, 21035B, 21038A, EXP Mar. 2023; 21048A, 21048D, EXP Apr. 2023; 21058B, EXP May. 2023; 21063A, 21068A, EXP Jun. 2023; 21084A, EXP Jul. 2023; 21090B, EXP Aug. 2023; 21093A, EXP Sep. 2023; 21124A, 21126A, EXP Nov. 2023; 21136A,20112A, 21122A,21122C, 20112B, EXP Dec. 2023; 22001A, 22001D, 22006B, 22006C, EXP Jan. 2024; 22010A, 22011A, 22011B, EXP Feb. 2024; 22014A, 22015A, 22021A, EXP Mar. 2024."
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1487-2022","Class II","CALCIUM CARBONATE ORAL SUSPENSION, 1250 mg/5 mL, 5 mL cup, packaged in 10 cups per tray, 4 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr. Suite 233, Livonia, MI 48152, NDC 0904-7098-94","49,280 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 21021A, 21023A, 21024A, EXP Feb. 2023; 21064A, EXP Jun. 2023; 21073A, 21075A, EXP Jul. 2023; 21100A, EXP Sep. 2023; 21118A, 21120A, EXP Nov. 2023; 21128A, 21129A, 21131A, 21135A, EXP Dec. 2023; 22019A, EXP Mar. 2024."
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1488-2022","Class II","Diphenhydramine HCl Oral Solution 12.5 mg / 5 mL, 5 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr. Suite 233, Livonia, MI 48152, NDC 0904-6740-70","217,700 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20063A, EXP Jun. 2022; 20098A, EXP Oct. 2022; 21055B, EXP May. 2023; 21066A, EXP Jun. 2023; 21083B, EXP Jul. 2023; 21112B, EXP Oct. 2023; 22009A, EXP Feb. 2024."
"Drugs","No","","90398","Terminated","Plastikon Healthcare LLC","3780 Greenway Cir","N/A","Lawrence","KS","	66046-5440","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed Nationwide in the USA","D-1489-2022","Class II","Diphenhydramine HCl Oral Solution, 25 mg / 10 mL, 10 mL cup, packaged in 10 cups per tray, 10 trays per carton, For Institutional Use Only, Major Pharmaceuticals, 17177 N Laurel Park Dr. Suite 233, Livonia, MI 48152, NDC 0904-6741-72","349,100 cups","CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.","06/07/2022","09/06/2022","06/25/2025","09/14/2022","Lot # 20065A, EXP Jun. 2022; 20068A, 20070A, EXP Jul. 2022; 20097A, 20098A, EXP Oct. 2022; 21055A, EXP May. 2023; 21083A, EXP Jul. 2023; 21091A, EXP Aug. 2023; 21112A, EXP Oct. 2023"
