Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0521-2019,Class I,"Dr. King's aquaflora Candida High Potency, 8 fl. oz. (236 mL),  King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 35795580018, NDC 57955-8020-89",105716 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 120217R Exp. 12/19; 102017C Exp. 10/19; 101017G Exp. 10/19; 111417C Exp. 11/19; 062818E Exp. 06/20; 122817B Exp. 12/19; 030818B Exp. 03/20; 010716A Exp. 01/19; 011617H Exp. 01/20; 012517M Exp. 01/20; 020717A Exp. 02/20; 021816A Exp. 02/19; 031016C Exp. 03/19; 031016D Exp. 03/19; 033016K Exp. 03/19; 052516J Exp. 05/19; 052918G Exp. 05/20; 062116A Exp. 06/19; 062818A Exp. 06/20; 062818F Exp. 06/20; 090816B Exp. 06/20; 101216A Exp. 10/19; 112315A Exp. 11/18; 112916C Exp. 11/19; 120816N Exp. 12/19
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0522-2019,Class I,"Dr. King's Lymph Detox, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955506324, NDC 57955-5063-2",6446 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 081815F Exp. 08/18; 030916V Exp. 03/19; 061316B Exp. 06/19; 1208016H Exp. 12/19; 010118BE Exp. 01/01/20; 041017M Exp. 04/19
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0523-2019,Class I,"Dr. King's Natural Medicine Homeopathic Male Libido, 2 fl. oz. (59 mL), King Bio, Inc. 3 Westside Dr. Asheville, NC 28806, UPC 3579555101022, NDC 57955-5510-2",696 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 030216F Exp. 03/19; 051216K Exp. 05/19; 080315E Exp. 08/2018; 080916Q Exp. 08/2019; 120816E Exp. 12/19
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0524-2019,Class I,"Dr. King's Natural Medicine Homeopathic Regional Allergies Northeastern U.S., 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955519225, NDC 57955-0753-2",3651 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 030817M Exp. 03/19; 050216E Exp. 05/19; 070816D Exp. 07/19; 010118D Exp. 01/20; 030418B Exp. 03/20
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0525-2019,Class I,"Dr. King's Natural Medicine Homeopathic Regional Allergies Rocky Mtns. U.S., 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955518624, NDC 57955-0200-2",4836 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 0301817L Exp. 03/19; 030916G Exp. 03/19; 052615C Exp. 05/18; 080116B Exp. 08/19; 091015T Exp. 09/18
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0526-2019,Class I,"Dr. King's Natural Medicine Homeopathic Cold Sores & Herpes, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955516521, NDC 57955-5165-2",6584 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 030218B Exp. 03/20; 033116H Exp. 03/19; 061815J Exp. 06/18; 062716B Exp. 06/19; 091616C Exp. 09/19; 111017B Exp. 11/19; 123015A Exp. 12/18
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0527-2019,Class I,"Dr. King's Natural Medicine Homeopathic Menstrual Cramps & Irregularities 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955500421, NDC 57955-5004-02",550 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 041416J Exp. 04/19; 070816F Exp. 07/19; 091015K Exp. 09/2018; 030218C Exp. 03/20
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0528-2019,Class I,"Dr. King's Natural Medicine Homeopathic Regional Allergies Pacific U.S. 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955519324, NDC 57955-8198-2",6210 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 030816C Exp. 03/19; 052616C Exp. 05/19; 062215K Exp. 06/18; 012518B Exp. 01/20; 040218B Exp. 04/20; 050417A Exp. 05/19; 030817P Exp. 03/19
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0529-2019,Class I,"Dr. King's Natural Medicine Homeopathic Bladder Formula, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955504528, NDC 57955-1503-2",3281 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 022616A Exp. 02/19; 030218D Exp. 03/20; 050216AC Exp. 05/19; 072216K Exp. 07/19; 083115H Exp. 08/18; 120717A Exp. 12/19; 123015C Exp. 12/18
Drugs,No,,80601,Terminated,King Bio Inc.,3 Westside Dr,N/A,Asheville,NC,"	28806-2846",United States,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide, Canada, and Australia.",D-0530-2019,Class I,"Dr. King's Natural Medicine Homeopathic Regional Allergies Southern U.S., 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955518426, NDC 57955-0760-2",11798 bottles,Microbial contamination,7/20/2018,3/8/2019,1/19/2022,3/20/2019,Lot Numbers: 022717K Exp. 02/20; 030816D Exp. 03/19; 030817R Exp. 03/19; 061815H Exp. 06/18; 030418A Exp. 03/20
