Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0238-2024,Class I,"Old Spice, PURE SPORT, (Aluminum Chlorohydrate 23.5%),  Anti-Perspirant & Deodorant Spray, Topical spray can, Net WT 6.0 OZ (170g), Distributed by Procter & Gamble, Cincinnati, OH 45202.  NDC: 37000-199-60, UPC 0 12044 00191 2",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 11661458SM, 11681458SB, Exp 5/31/23; 12621458SV, 12631458SB, Exp 08/31/23"
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0240-2024,Class I,"Old Spice, SWEAT DEFENSE PURE SPORT PLUS, Dry Spray,  (Aluminum Chlorohydrate 23.5%), Anti-Perspirant, Topical spray can, Net WT 3.8 oz (107 g) cans,  Distr. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-387-10, UPC 0 37000 72974 7  ",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 12081458SB, Exp 6/30/2021; 92181458FA, Exp 7/31/21;"
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0241-2024,Class I,"Old Spice, SWEAT DEFENSE  ULTIMATE CAPTAIN, Aluminum Chlorohydrate 23.5%, Anti-Perspirant, Topical spray can 3.8 OZ (107 g), Distr. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-385-10, UPC 0 37000 74947 9 ",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 03581458SA, Exp 11/30/2022;  10251458SU,   10261458SA, Exp 12/31/2022;"
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0242-2024,Class I,"Secret, powder fresh, Aluminum chlorohydrate 24%, Anti-Perspirant/Deodorant, Topical spray can Net Wt., (a) 4OZ (113g), NDC 37000-134-11, UPC 0 37000 71109 4, (b) 6OZ (170g),  NDC 37000-134-17, UPC 0 37000 71108 7; (c) twin pack-2 each can Net Wt. 6OZ (170g),  NDC: 37000-134-01, UPC 0 37000 58690 6; Distr. by: Procter & Gamble, Cincinnati, OH 45202     ",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: (a &b) 00701458SJ, 00861458SA, 00871458SA, Exp 1/28/2022; 00921458SK, Exp 3/31/2022; 01701458SJ, 01711458SE, Exp 5/31/2022; 03431458SA, 03441458SA, 03531458SM, Exp 11/30/2022; 10681458SJ, 10691458SA, 10701458SA, 10781458SE, 10811458SJ, Exp 2/28/2023; 11701458SH, 11711458SH, 11721458SG, Exp 5/31/2023; 12181458SD, Exp 7/31/23; 12631458SH,12641458SB, 12651458SE, Exp 8/31/23; 10301458SA,Exp 12/31/22; 10921458SJ, 10931458SA, 11191458SJ, Exp 3/31/23; 11251458SB, 11421458SM, 11431458SB, Exp 4/30/2023; 11701458SH, 11711458SB, Exp 5/31/2023; 12101458SJ, 12121458SJ, Exp 6/30/2023  (c) 11711458SB, Exp 5/31/2023"
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0243-2024,Class I,"Secret, Dry Spray, (Aluminum chlorohydrate 23.5%), Antiperspirant, Waterlily, Topical Spray Can, Net Wt 3.8 oz (107 g), Dist. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-381-10; UPC 0 37000 72372 1; 12/pack UPC 0 37000 72991 4 ",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 92191458FB, Exp 7/31/2021; 00091458SA, Exp 12/31/2021; 00091458SA, 11821458SB, Exp 6/30/2023."
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0244-2024,Class I,"Secret, Dry Spray, Aluminum chlorohydrate 23.5%, Antiperspirant, Lavender, Topical spray can Net Wt 3.8 oz (107 g), Dist. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-383-10, UPC: 0 37000 72986 0",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 00221458SU, 00231458SA, Exp 12/31/2021; 10271458SR, Exp 12/31/2022."
Drugs,No,,89106,Terminated,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,Cincinnati,OH,"	45202-3315",United States,Voluntary: Firm initiated,Press Release,"Nationwide USA and Puerto Rico, Canada, Guam, Northern Mariana Islands, American Samoa, Bhutan, Timor-Leste, Maldives, Fiji, US Virgin Islands, Trinidad, Peru, Saint Marteen, Bahamas, Costa Rica, Guatemala, Honduras, Panama, Belize, Santa Lucia, Aruba, Dominican Republic, Guyana",D-0246-2024,Class I,"Secret, Dry Spray, Aluminum chlorohydrate 23.5%, Antiperspirant, Rose, Topical spray can Net Wt 3.8 oz (107 g), Dist. by: Procter & Gamble, Cincinnati, OH 45202. NDC:  69423-380-10, UPC 0 37000 79884 2",unknown,Chemical contamination: presence of benzene,11/23/2021,1/17/2024,10/1/2024,1/24/2024,"Lot #: 12001458SF, Exp 06/30/2023."
Drugs,No,1/12/2024,93257,Ongoing,Botanical Be,360 Jardin Bello,N/A,El Paso,TX,"	79932-2357",United States,Voluntary: Firm initiated,Telephone,USA Nationwide,D-0224-2024,Class I,"Artri King Reforzado con Origa y Omega 3 tablets, packaged in 100-count bottles, Manufactured by: Plantas medicinales de Mexico, Melchol Ocampo # 65 Local D, Delegacion Xochimilco CP 16800, Mexico DF, UPC 7 501031 111138 ",235 bottles,Marketed Without an Approved NDA/ANDA: products found to contain undeclared diclofenac.,10/20/2023,1/12/2024,N/A,12/6/2023,"Lot 35421, exp 12/19/2025"
Drugs,No,1/12/2024,93257,Ongoing,Botanical Be,360 Jardin Bello,N/A,El Paso,TX,"	79932-2357",United States,Voluntary: Firm initiated,Telephone,USA Nationwide,D-0225-2024,Class I,"Reumo Flex caplets, packaged in 30-count boxes, Manufactured by: Grupo Yepenza de Mexico, SA de CV, Comerciantes 5824 Col Arcos de Guadalupe, Zapopan Jal Mexico, UPC 7 502214 014598 ",N/A,Marketed Without an Approved NDA/ANDA: products found to contain undeclared diclofenac.,10/20/2023,1/12/2024,N/A,12/6/2023,"All lots, exp 10/20/2024"
Drugs,No,1/12/2024,93257,Ongoing,Botanical Be,360 Jardin Bello,N/A,El Paso,TX,"	79932-2357",United States,Voluntary: Firm initiated,Telephone,USA Nationwide,D-0226-2024,Class I,"Kuka Flex Forte caplets, packaged in 30-count bottles, Manufactured by: Kukamonga, Gonzalez Ortega No 170 Col Centro, 44100 Guadalajara Jal, UPC 0736640810265 ",300 bottles,Marketed Without an Approved NDA/ANDA: products found to contain undeclared diclofenac.,10/20/2023,1/12/2024,N/A,12/6/2023,"All lots, exp 12/12/2024"
