Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0552-2018","Class II","Black Ant capsules,  4600mg, 4-count blister pack, labeling is in foreign language    ","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0553-2018","Class III","Indian God Lotion Spray Bottle, labeling is in foreign language","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found this product to contain diethyl phthalate, an inactive ingredient in several modified release solid oral dosage forms,  making this product unapproved drug for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0557-2018","Class II","HARD TEN DAYS capsules, 4500mg, 6-count bottle, labeling is in foreign language     ","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0561-2018","Class II","Ye Lang Shen capsules, 5000 mg, 8-count bottle, labeling is in foreign language  ","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0564-2018","Class II","STREE OVERLORD capsules, 3800 mg, 4-count bottle, labeling is in foreign language","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0565-2018","Class II","MAX MAN capsules, 3000 mg, 6-count bottle, labeling is in foreign language     ","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","76644","Terminated","A&H Focal Inc.","119 Linwood Ave","N/A","Staten Island","NY","	10305-4445","United States","Voluntary: Firm initiated","Press Release","NY and NJ through six retail stores named ""Asian Food Markets""","D-0572-2018","Class II","Tiger King tablets, labeling is in foreign language","unknown","Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","03/07/2017","02/28/2018","06/14/2019","02/07/2018","All Lots"
"Drugs","No","","77503","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","N/A","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA to hospitals and medical facilities.","D-0116-2018","Class II","NitroGlycerin 1 mg/10 mL in 5% Dextrose Inj, USP QS 10mL (100 mcg per mL), 10 mL Sterile single dose syringe, packaged in 5 x 5 (TWENTY FIVE) syringes per box, Rx only, Advanced Pharma, 9265 Kirby Dr., Houston, TX  77054, NDC 15082-818-61.  ","4800 syringes","Stability Data Does Not Support Expiry: lots do not have stability that supports the use of the container system.","06/09/2017","12/20/2017","04/03/2019","12/27/2017","Lot: 3/3/17 1830 81861S, BUD 07/01/17; 3/27/17 0658 81861S, BUD 7/25/17"
"Drugs","No","","77503","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","N/A","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA to hospitals and medical facilities.","D-0117-2018","Class II","NitroGlycerin 100 mcg/mL QS 5% Dextrose Inj, USP (2 mg per 20 mL) 20 mL Sterile single dose syringe, packaged in 10 x 5 (FIFTY) syringes per box, Rx only, Advanced Pharma, 9265 Kirby Dr., Houston, TX  77054, NDC 15082-818-62.  ","50 syringes","Stability Data Does Not Support Expiry: lots do not have stability that supports the use of the container system.","06/09/2017","12/20/2017","04/03/2019","12/27/2017","Lot: 5/31/17 0202 5-81862S, BUD 7/30/17"
"Drugs","No","","77503","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","N/A","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA to hospitals and medical facilities.","D-0118-2018","Class II","NitroGlycerin (1 mg/5 mL) 1 mg in 5% Dextrose Inj, USP QS 5 mL (200 mcg per mL), 5 mL Sterile single dose syringe, packaged in 8 x 5 (FORTY) syringes per box, Rx only, Advanced Pharma, 9265 Kirby Dr., Houston, TX  77054, NDC 15082-863-67.  ","680 syringes","Stability Data Does Not Support Expiry: lots do not have stability that supports the use of the container system.","06/09/2017","12/20/2017","04/03/2019","12/27/2017","Lot: 4/26/17 0730 20-86367S, BUD 6/25/17; 4/24/17 0106 241-86367S, BUD 6/23/17; 5/1/17 1500 45-86367S, BUD 6/30/17; 5/9/17 1103 241-86367S, BUD 7/8/17; 5/9/17 1104 257-86367S, BUD 7/8/17; 5/12/17 0839 15-86367S, BUD 7/11/17; 5/19/17 0109 15-86367S, BUD 7/18/17; 5/22/17 0828 387-86367S, BUD 7/21/17; 5/23/17 0721 257-86367S, BUD 7/22/17; 5/24/17 0200 241-86367S, BUD 7/23/17; 5/24/17 0203 20-86367S, BUD 7/23/17; 5/26/17 0315 15-86367S, BUD 7/25/17; 5/31/17 1217 20-86367S, BUD 7/30/17"
