Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","83645","Terminated","RemedyRepack Inc.","625 Kolter Dr Ste 4","N/A","Indiana","PA","	15701-3571","United States","Voluntary: Firm initiated","Letter","PA","D-1030-2020","Class II","Lisinopril/HCTZ 20mg/12.5mg Tablet, QTY: 30 tablets per blister card, MFG: Lupin Pharma Baltimore, MD 21202, NDC 68180-0519-02 (Original NDC of 500 count bottle); 70518-0382-03 (Repackaged NDC for blister cards).    ","480 tablets","Presence of Foreign Tablets/Capsules: This is a spin-off recall of D-1581-2019 due to a product complaint where one of Lupin's Fenofibrate 145mg was observed in the 500 s count product bottle.","08/05/2019","03/16/2020","06/02/2023","03/25/2020","Lot #: J0322819-091418, Exp: 09/30/2019"
"Drugs","No","","83757","Terminated","Tuscano and Delucia Group (DBA Entropic Labs)","2150 S West Temple Apt 413","N/A","Salt Lake City","UT","	84115","United States","Voluntary: Firm initiated","E-Mail","Nationwide within the United States","D-0800-2020","Class II","Entropic Labs SARM RAD-140, 20mg Capsules, 30-count bottles, Entropic Labs UPC#: 651074545302","60","Marketed Without An Approved NDA/ANDA: product  contains Selective Androgen Receptor Modulators (SARMs)","08/24/2019","01/22/2020","07/12/2023","01/29/2020","All lots"
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0578-2020","Class II","Clonidine HCL and Morphine Sulfate in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed on 08/26-29/2019 and 09/27/2019 through 10/03/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0579-2020","Class II","Glutamine/Arginine/Carnitine in all strengths, all doses and all packaging, AnazaoHealth Corporate 5710 Hoover Blvd Tampa, FL 33634.","17 vials","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed 09/24-26/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0580-2020","Class II","Clonidine HCL/Hydromorphone HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed on 08/26-29/2019 and 09/27/2019 through 10/03/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0581-2020","Class II","Baclofen in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0582-2020","Class II","Baclofen and Morphine Sulfate in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0583-2020","Class II","Bupivacaine HCL and Clonidine HCL and Hydromorphone HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0584-2020","Class II","Bupivacaine HCL and Clonidine HCL and Hydromorphone HCL and Fentanyl Citrate in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed on 08/26-29/2019 and 09/27/2019 through 10/03/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0585-2020","Class II","Bupivacaine HCl and Hydromorphone HCl in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0586-2020","Class II","Fentanyl Citrate in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0587-2020","Class II","Fentanyl Citrate and Bupivacaine HCl and Morphine Sulfate in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0588-2020","Class II","Hydromorphone HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0589-2020","Class II","Hydromorphone HCL and Bupivacaine HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled 08/26/2019 and dispensed 08/26-29/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0590-2020","Class II","Hydromorphone HCL and Baclofen and Clonidine HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed on 08/26-29/2019 and 09/27/2019 through 10/03/2019 remaining within expiry."
"Drugs","No","12/23/2019","83996","Terminated","Coast Quality Pharmacy, LLC dba Anazao Health","5710 Hoover Blvd","N/A","Tampa","FL","	33634-5339","United States","Voluntary: Firm initiated","Telephone","Nationwide in the U.S.","D-0591-2020","Class II","Hydromorphone HCL and Clonidine HCL in all strengths, all doses and all packaging, AnazaoHealth 5710 Hoover Blvd Tampa, FL 33634.","Unknown","Lack of Processing Controls; Environmental sampling revealed 1 CFU (Colony Forming Unit) identified as Talaromyces rotundus, a fungi.","09/03/2019","12/06/2019","12/01/2020","12/18/2019","All lots filled and dispensed on 08/26-29/2019 and 09/27/2019 through 10/03/2019 remaining within expiry."
