Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","59001","Terminated","A B Nutrition, Inc.","5407 Louetta, Suite E","N/A","Spring","TX","	77379","United States","Voluntary: Firm initiated","E-Mail","In retail store located in TX and internet sales nationwide.","D-194-2013","Class II","PIRACETAM COGNITION ENHANCING AGENT Dietary Supplement PHARMACEUTICAL GRADE 800 mg 240 Capsules per bottle CTD Labs Houston, TX 77090","2980 bottles","Marketed Without an Approved NDA/ANDA: The product is an unapproved new drug.","05/27/2011","03/08/2013","07/29/2013","03/20/2013","Lot #33250311 Exp. 04/13"
"Drugs","No","","59001","Terminated","A B Nutrition, Inc.","5407 Louetta, Suite E","N/A","Spring","TX","	77379","United States","Voluntary: Firm initiated","E-Mail","In retail store located in TX and internet sales nationwide.","D-195-2013","Class II","PIRACETAM POWDER COGNITION ENHANCING AGENT Dietary Supplement CTD 500 grams PHARMACEUTICAL GRADECTD Labs Houston, TX 77090","509 bottles","Marketed Without an Approved NDA/ANDA: The product is an unapproved new drug.","05/27/2011","03/08/2013","07/29/2013","03/20/2013","Lot # 33280311 Exp. 03/13"
"Drugs","No","","59001","Terminated","A B Nutrition, Inc.","5407 Louetta, Suite E","N/A","Spring","TX","	77379","United States","Voluntary: Firm initiated","E-Mail","In retail store located in TX and internet sales nationwide.","D-196-2013","Class II","ANIRACETAM FAST ACTING NOOTROPIC Dietary Supplement PHARMACEUTICAL GRADE 750mg 60 Capsules per bottle CTD Labs Houston, TX 77090","912 bottles","Marketed Without an Approved NDA/ANDA: The product is an unapproved new drug.","05/27/2011","03/08/2013","07/29/2013","03/20/2013","Lot # 32000311"
"Drugs","No","","61725","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide","D-128-2013","Class III","CABERGOLINE Tablets, 0.5 mg, RX only, 8 count bottles, Manufactured For: TEVA PHARMACEUTICALS USA, Sellersville, PA 18960 NDC 0093-5420-88","13,232 bottles","Impurities/Degradation Products: This lot of product will not meet the impurity specification over shelf life","04/24/2012","01/16/2013","12/18/2013","01/23/2013","Lot number 6A007046V, exp 07/12"
"Drugs","No","","61918","Terminated","Hospira Inc.","275 N Field Dr","N/A","Lake Forest","IL","	60045-2579","United States","Voluntary: Firm initiated","Letter","Nationwide Puerto Rico, U.S. Virgin Island, Libya, Saudi Arabia","D-611-2013","Class II","0.9% Sodium Chloride Injection, USP, Polyolefin Flexible Container, a) 500 mL (NDC 0409-7983-30), b) 1000 mL (NDC 0409-7983-48), c) 250 mL (NDC 0409-7983-02), d) 150 mL (NDC 0409-7983-61), Rx Only, by Hospira, Inc., Lake Forest, IL 60045","2,137,660 units","Lack of Assurance of Sterility: Hospira, Inc is voluntarily recalling the products due to possible leaking bags.","05/04/2012","06/21/2013","07/17/2015","07/03/2013","Lot #: a) 89-135-JT,  04-224-JT, 07-138-JT, Exp 4/13, 08-160-JT Exp. 8/13 ; b) 08-163-JT, 90-036-JT, 02-048-JT, Exp 2/13; c) 93-102-JT, 11-063-JT, Exp 9/12; d) 93-096-JT, Exp 11/12"
"Drugs","No","","62237","Terminated","James G. Cole, Inc.","1020 Wasco St Ste D and K","N/A","Hood River","OR","	97031","United States","Voluntary: Firm initiated","E-Mail","Product was distributed nationwide and Canada","D-129-2013","Class II","I-C Drops, Eye Cleansing Agent,  15 ml  ASN/Maxam P.O. Box 1277 Hood River, OR 97031","253 bottles","Lack of Assurance of Sterility: The product is being recalled because the product label does not state sterile in accordance with 21 CFR Part 200.50(a)(1), Ophthalmic Preparations and Dispensers, and it is not in compliance with 21 CFR Part 349, Ophthalmic Drug Products for Over-The-Counter Use.","08/28/2012","01/16/2013","03/12/2013","01/23/2013","N/A"
"Drugs","No","","62625","Terminated","Fougera Pharmaceuticals  Inc.","60 Baylis Road","N/A","Melville","NY","	11747-0103","United States","Voluntary: Firm initiated","Letter","Nationwide","D-241-2013","Class III","Fougera Ketoconazole Cream 2%, 15g tube, Rx only, Labeled with E. Fougera & Co., a division of Fougera Pharmaceuticals Inc., Melville, New York 11747, NDC 0168-0099-15","60,210 units","Failed Impurities/Degradation Specifications: Ketoconazole Cream 2% is the subject of a voluntary drug recall by Fougera due to an Out Of Specification result for an unknown degradant product","07/18/2012","04/02/2013","12/10/2015","04/10/2013","Lot #: 835H, Exp 07/12"
"Drugs","No","","62908","Terminated","Bayer HealthCare Pharmaceuticals Inc.","2625 162nd St SW","N/A","Lynnwood","WA","	98087","United States","Voluntary: Firm initiated","Letter","Nationwide","D-156-2013","Class III","Leukine sargramostim 5 x 500 mcg/mL vial, liquid injection, Sterile Rx only, Mfd by: Bayer HealthCare Pharmaceuticals, LLC Seattle, WA 98101 U.S. Lic. No. 1791 NDC 58468-0181-2","138,505 vials","Impurities/Degradation Products: A confirmed out of specification result for Leukine sargramostin lot B18827 occurred at the three month time point.","05/31/2012","02/07/2013","05/10/2013","02/13/2013","B18511 Exp. 04/12 , B18513 Exp. 05/12, B18515 Exp. 06/12, B18517 Exp. 06/12, B18825 Exp. 10/12, B18831 Exp.12/12"
"Drugs","No","","62983","Terminated","Axcentria Pharmaceuticals LLC","306 Keystone Dr","Unit B","Telford","PA","	18969","United States","Voluntary: Firm initiated","Letter","MI","D-134-2013","Class III","Major Oral Peroxide (Carbamide Peroxide 10%), 2 fl oz (60 mL), Distributed by: Major Pharmaceuticals 31778 Enterprise Drive, Livonia, MI 48150, NDC 0904-4062-03","17,679 bottles","Stability data does not support expiration date:  Stability data indicates the Carbamide Peroxide will degrade below acceptable levels within the 24-month expiration date printed on the packaging.","08/17/2012","01/18/2013","10/07/2014","01/30/2013","Lot #s  L11065, exp 12/2013; B12019, exp 2/2014; B12020, exp 2/2014; and D12035, exp 4/2014."
"Drugs","No","","63242","Terminated","Hospira, Inc.","600 N Field Dr Bldg J45","N/A","Lake Forest","IL","	60045","United States","Voluntary: Firm initiated","Telephone","NC","D-215-2013","Class III","Lactated Ringer's Injection, USP, 1000 mL, Rx only, Manufactured by Hospira, Inc., Lake Forest, IL 60045, NDC 0409-7953-09","1,296 units","CGMP Deviations: Shipment of product not approved for release.","06/21/2012","03/22/2013","03/28/2013","04/03/2013","Lot 16-836-FW, Exp 04/14"
