Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0328-2022","Class II","EQUALINE aller-ease fexofenadine hydrochloride tablets, 180 mg, 24 HR, packaged as a) 15 count bottle, NDC 41163-571-22, UPC 0 41163 48067 4; b) 70 tablets per bottle, NDC 41163-571-01, UPC 0 41163 49847 1; Made in the Czech Republic, Distributed by: UNFI Providence, RI 02908.","55,032  units","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # a)0HE2530 Exp 12/31/2021, 0KE2980 EXP 02/28/2022 b)0FR0461 Exp 2/28/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0329-2022","Class II","GoodSense Aller.Ease, Fexofenadine hydrochloride 12 HR, 60 mg tablets, 24 count bottle, UPC 3 0113 0425 62 7;  Made in the Czech Republic, Distributed by: Perrigo Allergan MI 49010.","36,048 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot# 0JE2487 , 0KE2982, Exp 1/31/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0330-2022","Class II","amazon, Allergy Fexofenadine Hydrochloride  Tablets, 180 mg/Antihistamine,  24 HR, 30 count bottle, Made in the Czech Republic, Distributed by: Amazon.com Services LLC 410 Terry Avenue N. Seattle, WA 98109 UPC 3 70030 11466 5","32,232 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # 1BR0462, Exp 10/31/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0331-2022","Class II","basic+care, allergy Fexofenadine Hydrochloride Tablets, 180 mg/Antihistamine,  24 HR, 150 count bottle, Made in the Czech Republic, Distributed by: Perrigo Allergan, MI 49010, NDC 0113-7571-47 UPC 3 70030 11470 2","28,320 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # 0GR0528, Exp 03/31/22; 0KR0473, Exp 04/30/22;  0LR0369, Exp 06/30/22"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0332-2022","Class II","basic+care, allergy Fexofenadine Hydrochloride Tablets, 60 mg/Antihistamine,  12HR, 100 count bottle, Made in the Czech Republic, Distributed by: Perrigo Allergan, MI 49010, NDC 0113-7425-78 UPC 3 70030 14536 2","62,568 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # 0CR0510, Exp 9/30/2021; 0LR0361, Exp 04/30/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0333-2022","Class II","berkley jensen, ALLERGY RELIEF, Fexofenadine Hydrochloride Tablets, 180 mg Antihistamine,  24HR, 150 count bottle, Made in the Czech Republic, Distributed by: BJ's WHolesale Club 25 Research Drive Westborough, MA 01581","7,670 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # 0HV1442, Exp 3/1/2022, 1CV1619, Exp 10/1/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0334-2022","Class II","CAREONE Allergy Relief, Fexofenadine Hydrochloride Tablets, 180 mg Antihistamine,  24HR, packaged as a)30 count bottle, NDC 41520-229-39, UPC 3 41520 31984 6;  b)45 count bottle, NDC 41520-229-95 UPC 3 41520 31983 9; Made in the Czech Republic, Distributed by: Foodhold U.S.A. LLC Landover, MD 20785. Made in Czech Republic","28776 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot a) 0FR0459, Exp 2/28/2022; 0LR0362, Exp 6/30/2022; 1BR0462, Exp 10/31/2022 b) 0LR0363, Exp 6/30/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0335-2022","Class II","CVS Allergy Relief, Fexofenadine Hydrochloride Tablets, 60 mg Antihistamine,  12HR, packaged as a) 12 count bottle, NDC 59779-425-53, UPC 0 50428 25414 1; b)24 count bottle, NDC 59779-425-62, UPC 0 50428 53435 9; Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895, Made in Czech Republic","138,144 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot # a) 0ME2516, Exp 4/30/2022 b)0ME2515, Exp 4/30/2022; 0KE2982, Exp 1/31/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0336-2022","Class II","DG/health Aller.Ease, Fexofenadine Hydrochloride Tablets, 180 mg/Antihistamine,  24HR,  10 count bottle, Distributed by: Made in Czech Republic. Distributed by Dolgencorp, LLC, 100 Mission Ridge Goodlettsville, TN 37072. UPC 3 70030 65779 7","24,912 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot 0KE2979, 0ME2088, Exp 2/28/2022"
"Drugs","No","05/31/2022","88384","Terminated","Perrigo Company PLC","515 Eastern Ave","N/A","Allegan","MI","	49010-9070","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0337-2022","Class II","Health Mart, Fexofenadine Hydrochloride tablets, 12HR, 60mg . Antihistamine     12 count bottle, Distributed by: Mckesson 6555 State Highway 161, Irvine, TX 75039. Made in the Czech Republic, NDC 62011-0413-1, UPC  0 52569 14278 3","12,384 containers","Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.","07/27/2021","01/05/2022","11/08/2022","01/12/2022","Lot 0JE2491, Exp 1/31/2022"
