Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","97821","Ongoing","Advanced Pharmaceutical Technology, Inc.","132 S Central Ave","N/A","Elmsford","NY","	10523-3509","United States","Voluntary: Firm initiated","Letter","GA, NY, TX, Puerto Rico, United Kingdom, Malta, Greece","D-0258-2026","Class II","TESTO-100 CIII (testosterone 100 mg), 10 Sterile Pellets per carton, Rx only, Manufactured by: Advanced Pharmaceutical Technology, 132 South Central Avenue, Elmsford, NY 10523, NDC# 57377-100-01","22,843 pellets","Lack of Assurance of Sterility: Potential microbial contamination of subcutaneous pellets.","10/03/2025","01/14/2026","N/A","01/21/2026","Lot #: P-22-3, Exp 06-2027"
"Drugs","No","","98011","Ongoing","Agebox","108 W 13th St","N/A","Wilmington","DE","	19801-1145","United States","Voluntary: Firm initiated","E-Mail","The product was distributed nationwide in the U.S. Agebox sells its U.S. products through Agebox.com (using Shopify) and Amazon.com. All orders are shipped to customers by Agebox itself; other parties are not involved in the distribution of the physical product.","D-0344-2026","Class II","Agebox iKids-Growth (Day Formula) capsules, 60-count bottles, Manufactured Exclusively For: AGEBOX Inc., Wilmington, DE 19801 USA, UPC 8 50065 59701 0","665 bottles","Marketed Without an Approved NDA/ANDA: presence of undeclared ibutamoren","10/28/2025","02/25/2026","N/A","03/04/2026","Lot # 23101201 exp 09/2026, 24080801 exp 07/2027, and 25020701 exp 01/2028"
"Drugs","No","","98011","Ongoing","Agebox","108 W 13th St","N/A","Wilmington","DE","	19801-1145","United States","Voluntary: Firm initiated","E-Mail","The product was distributed nationwide in the U.S. Agebox sells its U.S. products through Agebox.com (using Shopify) and Amazon.com. All orders are shipped to customers by Agebox itself; other parties are not involved in the distribution of the physical product.","D-0345-2026","Class II","Agebox iKids-Growth (Night Formula), 60-count bottles, Manufactured Exclusively For: AGEBOX Inc., Wilmington, DE 19801 USA, UPC 850065597027","N/A","Marketed Without an Approved NDA/ANDA: presence of undeclared ibutamoren","10/28/2025","02/25/2026","N/A","03/04/2026","Lot # 23101202 exp 09/2026, 24080802 exp 07/2027, and 25020702 exp 01/2028"
"Drugs","No","","98062","Ongoing","SUN PHARMACEUTICAL INDUSTRIES INC","2 Independence Way","N/A","Princeton","NJ","	08540-6620","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA.","D-0257-2026","Class III","Clindamycin Phosphate USP, 1% (10 mg/mL), Topical Solution, 60 mL per applicator bottle, Rx only, Mfd. by: Taro Pharmaceutical Industries Ltd., Haifa Bay, Israel; Dist. by: Taro Pharmaceuticals USA, Inc., Hawthorne, NY 10532, NDC# 51672-4081-4","N/A","Failed Impurities/Degradation: Out of Specification results for Total Impurities and for Assay.","11/26/2025","01/14/2026","N/A","01/21/2026","Lot#:  AD30154, AD31143, AD31145, Exp 11/30/2025"
"Drugs","No","","98119","Ongoing","Alembic Pharmaceuticals Limited","Formulation Division, Village Panelav, P.O. Tajpura, Near Baska, Taluka Halol","N/A","Panchmahal","N/A","	N/A","India","Voluntary: Firm initiated","N/A","US Nationwide and PR.","D-0248-2026","Class III","Fesoterodine Fumarate, Extended-release Tablets, 8 mg, 30 Tablets, Rx only, Manufactured by: Alembic Pharmaceuticals Limited, Panelav 389350, Gujarat, India, Manufactured for: Alembic Pharmaceuticals, Inc., Bedminster, NJ 07921, USA, NDC 62332-176-30","N/A","Failed Impurities/Degradation Specifications: Due to levels of 'Diester Impurity' exceeding the specification limit.","12/16/2025","01/02/2026","N/A","01/14/2026","Lot# 2405003360, Exp Date: Jan 31, 2026"
"Drugs","No","","98131","Ongoing","Signature Formulations, LLC","5446 W Roosevelt St Ste 101","N/A","Phoenix","AZ","	85043-2729","United States","Voluntary: Firm initiated","E-Mail","AZ only","D-0252-2026","Class II","ORL Kids Mouthwash, Bubblegum Flavor, 16.9 oz. (500ml) per bottle, ORL Labs, LLC, Scottsdale, Arizona USA","570 bottles","cGMP Deviations","12/08/2025","01/05/2026","N/A","01/14/2026","Lot #: 250505P9, Exp. Date 05/27"
"Drugs","No","","98131","Ongoing","Signature Formulations, LLC","5446 W Roosevelt St Ste 101","N/A","Phoenix","AZ","	85043-2729","United States","Voluntary: Firm initiated","E-Mail","AZ only","D-0253-2026","Class II","ORL Kids Natural Toothpaste, Bubblegum Flavor, 4 oz (120ml), ORL Labs, LLC, Scottsdale, Arizona USA","1,458 containers","cGMP Deviations","12/08/2025","01/05/2026","N/A","01/14/2026","Lot #: 250520P4, Exp. Date 05/27"
"Drugs","No","","98136","Ongoing","SpecGx, LLC","385 Marshall Ave","N/A","Webster Groves","MO","	63119-1831","United States","Voluntary: Firm initiated","E-Mail","Nationwide","D-0254-2026","Class II","Oxycodone and Acetaminophen CII Tablets USP, 10mg/325 mg, 100 tablets, Rx only, SpecGx LLC, Webster Groves, MO 63119, NDC 0406-0523-01. ","287,988 Bottles.","Failed Tablet/Capsule Specification: There is a potential for the imprint to be missing on tablets.","12/16/2025","01/07/2026","N/A","01/14/2026","Lot: 0523J23904, expires: 05/2027; 0523J24426, 0523J24427, expires: 06/2027."
"Drugs","No","","98156","Ongoing","NOVADOZ PHARMACEUTICALS LLC","20 Duke Rd Ste A","N/A","Piscataway","NJ","	08854-3714","United States","Voluntary: Firm initiated","Letter","US Nationwide.","D-0300-2026","Class III","Glycopyrrolate Oral Solution, 1 mg/5 mL, 16 oz. (473 mL), Rx only, Manufactured by: MSN Pharmaceuticals Inc., Piscataway, NJ 08854, Distributed by: Novadoz Pharmaceuticals LLC, Piscataway, NJ 08854, NDC 72205-070-72","N/A","Failed Impurities/Degradation Specifications","12/15/2025","01/28/2026","N/A","02/04/2026","Lot # CB2505159A, CB2505160A, Exp Date: 04/2027; Lot # CB2505161A, Exp Date: 05/2027"
"Drugs","No","","98136","Ongoing","SpecGx, LLC","385 Marshall Ave","N/A","Webster Groves","MO","	63119-1831","United States","Voluntary: Firm initiated","E-Mail","Nationwide","D-0255-2026","Class II","Oxycodone and Acetaminophen CII Tablets USP, 7.5 mg/325 mg, 100 tablets, Rx only, SpecGx LLC, Webster Groves, MO 63119, NDC 0406-0522-01.  Case label: SpecGx LLC, NDC 0406052201, Exp. 2027/03, Lot: 0522J23493","74,544 bottles","Failed Tablet/Capsule Specification: There is a potential for the imprint to be missing on tablets.","12/16/2025","01/07/2026","N/A","01/14/2026","Lot: 0522J23493, expires: 03/2027."
"Drugs","No","","98178","Ongoing","Baxter Healthcare Corporation","1 Baxter Pkwy","N/A","Deerfield","IL","	60015-4625","United States","Voluntary: Firm initiated","Letter","Nationwide","D-0296-2026","Class II","Sterile Water for Irrigation, 250 mL, Single-Dose Plastic Bottle, Rx Only, Baxter Healthcare Corporation Deerfield, IL 60015 NDC: 0338-0004-02.  ","125,496 bottles","Presence of particulate matter: plastic particles from the bottle rim were observed floating into the solution","12/22/2025","01/23/2026","N/A","02/04/2026","Lot #: G171359, expiry: 05/31/2027"
"Drugs","No","","98181","Ongoing","Imprimis NJOF, LLC","1705 Route 46 Ste 6B","N/A","Ledgewood","NJ","	07852-9720","United States","Voluntary: Firm initiated","Letter","U.S Nationwide","D-0249-2026","Class II","Dexamethasone   Moxifloxacin, 1 mg/mL and 5 mg/mL, 1 mL Intraocular Injection, Rx only, Imprimis NJOF, LLC, Ledgewood, NJ 07852, NDC 71384-512-0.1","778 boxes of 15,540 pre-filled syringes","Presence of particulate matter - Glass like particles.","12/18/2025","01/02/2026","N/A","01/14/2026","Lot: 25MAY051, Expires: 06/26/2026; 25AUG003, Expires:08/07/2026"
"Drugs","No","","98181","Ongoing","Imprimis NJOF, LLC","1705 Route 46 Ste 6B","N/A","Ledgewood","NJ","	07852-9720","United States","Voluntary: Firm initiated","Letter","U.S Nationwide","D-0250-2026","Class II","Dexamethasone  Moxifloxacin  Ketorolac, 1 mg/mL, 0.5 mg/mL, 0.4 mg/mL) Single-Use Intraocular Injection, Imprimis NJOF, LLC., 1705 Route 46 West, Unit 6B, Ledgewood, NJ 07852, NDC 71384-513-01.","596 boxes of 11,920 pre-filled syringes","Presence of particulate matter - Glass like particles.","12/18/2025","01/02/2026","N/A","01/14/2026","Lot: 25APR001A, 25APR001B, Expires: 04/03/2026."
