Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1440-2019","Class II","ANASTROZOLE Tablets, 1 mg, Rx Only, 30-count bottle, Manufactured by: Cadila Healthcare Ltd. Ahmedabad, India. Distributed by: Zydus Pharmaceuticals (USA) Inc. Pennington, NJ 08534 NDC 68382-209-06  ","1,425,264 30-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lot: M706674, M706676, M707685 EXP Jun-19; M711219, M711220, M711221, M711222, M711269, EXP Sep-19; M801027, EXP Dec-19; M801028, M801029, M801030, EXP Jan-20; M802206, EXP Feb-20, M805195, M805196, M805197, EXP Mar-20; M805199, M805202, M805944, M805945, M805948, M805951, M805953, M805956, M805957, M805958, M805959 Apr-20; M812457, EXP Jul-20, M812458, M812459, M813912, M813913, M813914, M813915, M813916, EXP Aug-20; M815768, M815769, M818274, EXP Oct-20; M818119, M818120, M818121, M818635, EXP Nov-20; M819270, M819861, M819862, EXP Dec-20; M900921, M900922, M900923, M900924, M900925, EXP Jan-21; M902634, M902635, EXP Feb-21."
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1441-2019","Class II","Anastrozole Tablets, USP, 1 mg, 1,000-count bottle, Rx only,  Manufactured by: Cadila Healthcare Ltd. Ahmedabad, India  Distributed by: Zydus Pharmaceuticals (USA) Inc. Pennington, NJ 08534. NDC 68382-209-10  ","768 1000-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lot EXP Date: M708570 Jun-19, M711270 Sep-19, M802207 Feb-20, M812460 Aug-20"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1442-2019","Class II","Pramipexole Dihydrochloride Tablets 0.125 mg, 1,000-count bottle, Rx only, Manufactured by: Cadila Healthcare Ltd Ahmedabad, India, Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-196-10","204  1000-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lot: M714919, EXP Dec-19, M815081, EXP Aug-20, M900475, EXP Dec-20"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1443-2019","Class II","Pramipexole DihydrochlorideTablets 0.125 mg, 90-count bottle, Rx Only, Manufactured by: Cadila Healthcare Ltd Ahmedabad, India. Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-196-16","143,184 90-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lot: M714176, M714177, EXP Oct-19; M714917, EXP Nov-19; M714918, M715594, M715595, EXP Dec-19; M802190, EXP Jan-20; M802191, EXP Feb-20, M808673, EXP May-20; M811125, M811126, M811127, M811128, M811129, EXP Jun-20; M815082, M815083, M815084, M815085, M815086 EXP Aug-20; M900476, M900477, M900478, M900479, M900481, Dec-20;"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1444-2019","Class II","Pramipexole Dihydrochoride Tablets 0.25 mg, 90-count bottle, Rx Only, Manufactured by: Cadila Healthcare Ltd Ahmedabad, India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-197-16","215,760 90-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots: M706802, M706804, M706907, M706909, M707028, EXP May-19; M714180, M714181, EXP Oct-19; M717063, M717064, M801705, M801706, M801707, M801708, M714923, M714924, M714925 EXP Dec-19; M808307, M808308, M808309, M808310, EXP May-20; M812479, M812481, M812482, M812483, EXP Jul-20; M815787 M815789, M815790, M815791, M815788, EXP Sep-20; M820266, M820267, M820268, M820269, M820265 EXP Nov-20; M903040, M903041, M903042 EXP Jan-21."
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1445-2019","Class II","Pramipexole Dihydrochloride Tablets 0.25 mg, 1000-count bottle, Rx only, Manufactured by: Cadila Healthcare Ltd. Ahmedabad, India. NDC 68382-197-10","3,156 1000-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots: M706803, EXP Jun-19; M713438, EXP Oct-19; M801704, EXP Jan-20; M808306, EXP Jun-20; M812484, EXP Aug-20;  M820264, EXP Dec-20"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1446-2019","Class II","Pramipexole Dihydrochloride Tablets 0.5 mg, 90-count bottle, Rx only, Manufactured by: Cadila Healthcare Ltd. Ahmedabad, India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-198-16","168,330 90-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots:M713431, M713432, M714172, EXP Sep-19; M714173, Oct-19; M800552, M800553, M800554, M800555 M800556 EXP Dec-19; M811135 M812818 M812819 M812820 M812821 EXP Jun-20, M815777 M815778 M815779 M815780 M815781 EXP Aug-20; M901927 M901929 M901931 M901933 M902089 EXP Jan-21"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1447-2019","Class II","Pramipexole Dihydrochloride Tablets 1 mg, 90-count bottle, Rx only, Manufactured by: Cadila Healthcare Ltd Ahmedabad, India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-199-16","113,304 90-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots: M714186 M714187 M714188 EXP Oct-19; M714903 M714904 M714905 M715586 M715587 EXP Nov-19; M801441 M801442 M801443 M801444 M801445 EXP Dec-19; M811152 M811153 M811154 M811155 M811156 M814298 EXP Jul-20; M814299 M814300 M814301 M814302 EXP Aug-20; M818136 M818137 M818138 M818139 M818140 EXP Nov-20"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1448-2019","Class II","MethylPREDNISolone Tablets, USP, 4 mg, 100 tablets, Rx only, Manufactured by: Cadila Healthcare Ltd Ahmedabad, India NDC 68382-916-01","34521 100-count bottles","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots: M800144, M800145, EXP, Feb-20; M808193, EXP Jun-20; M811096, EXPJul-20"
"Drugs","No","","82827","Terminated","Zydus Pharmaceuticals USA Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-1449-2019","Class II","MethylPREDNISolone Tablets, USP 4 mg per tablet, 21 Tablets dosepack, Rx Only,  Made in India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534. NDC 68382-916-34","N/A","CGMP Deviations: Cross Contamination with other products due to CGMP cleaning failure.","05/06/2019","07/01/2019","09/16/2021","06/26/2019","Lots: M800150 Feb-20; M803930, M806006, M806007, M806008, M806009, M806010, M806011, EXP Mar-20; M807299, M807300, M807301, M807302, M807303, M807304, M807305, M807306, M807307, M807308, EXP May-20; M807779, M807780, M808194, M808195, M808196, M808197, M808198, EXP Jun-20; M811092, M811093, M811094, M811097, M811665, M811666, M811667, M813781, EXP Jul-20; M816286, M816288, M816289, M816290, M817612, EXP OCT-20;  M817613, M817614, M817615, M817616, M818315, EXP Nov-20; M820619, M820620, M820621, M901594, M901595, M901596, M901597, M903484, EXP Mar-21"
