Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","71078","Terminated","South Coast Specialty Compounding, Inc.","9257 Research Dr","N/A","Irvine","CA","	92618-4286","United States","Voluntary: Firm initiated","Letter","Nationwide.","D-1337-2015","Class II","Bi-Est 80:20 Progesterone (estriol,estradiol, progesterone) capsules, Rx only,  Manufactured by Park Compounding, Irvine, CA                  ","ALL LOTS","Penicillin Cross Contamination: Multiple finished products potentially contaminated with penicillin.","04/23/2015","09/02/2015","05/31/2016","09/09/2015","All Lots, Exp 09/15"
"Drugs","No","","71078","Terminated","South Coast Specialty Compounding, Inc.","9257 Research Dr","N/A","Irvine","CA","	92618-4286","United States","Voluntary: Firm initiated","Letter","Nationwide.","D-1338-2015","Class II","Leucovorin Calcium capsules, 10 mg, Rx only, Manufactured by Park Compounding, Irvine, CA   ","2,355 capsules ( 26 presciptions)","Penicillin Cross Contamination: Multiple finished products potentially contaminated with penicillin.","04/23/2015","09/02/2015","05/31/2016","09/09/2015","All Lots; Exp 06/15"
"Drugs","No","","71078","Terminated","South Coast Specialty Compounding, Inc.","9257 Research Dr","N/A","Irvine","CA","	92618-4286","United States","Voluntary: Firm initiated","Letter","Nationwide.","D-1339-2015","Class II","Meloxicam capsules, 12 mg, Rx Only, Manufactured by Park Compounding, Irving, CA  -non-sterile formulation","40 capsules ( 1 prescription)","Penicillin Cross Contamination: Multiple finished products potentially contaminated with penicillin.","04/23/2015","09/02/2015","05/31/2016","09/09/2015","All lots; Exp 08/15"
"Drugs","No","","71078","Terminated","South Coast Specialty Compounding, Inc.","9257 Research Dr","N/A","Irvine","CA","	92618-4286","United States","Voluntary: Firm initiated","Letter","Nationwide.","D-1340-2015","Class II","Artesunate Lyophilized Powder for Injection, 60 mg per vial, Rx only, Manufactured by Park Compounding, Irvine, CA  ","172 vials ( 100 prescriptions)","Penicillin Cross Contamination: Multiple finished products potentially contaminated with penicillin.","04/23/2015","09/02/2015","05/31/2016","09/09/2015","Lot # 12032014@2B; Exp.06/15  Lot # 12072014@3B; Exp.06/15  Lot # 01032015@2B; Exp.07/15  Lot # 02152015@2B; Exp.08/15"
"Drugs","No","","71078","Terminated","South Coast Specialty Compounding, Inc.","9257 Research Dr","N/A","Irvine","CA","	92618-4286","United States","Voluntary: Firm initiated","Letter","Nationwide.","D-1341-2015","Class II","Chorionic Gonadotropin/ Hydroxocobalamin Lyophilized Powder Injectable, 10,000 UNITS/ 5000 mcg per vial, Rx Only, Manufactured by Park Compounding, Irving, CA","337 vials (112 prescriptions)","Penicillin Cross Contamination: Multiple finished products potentially contaminated with penicillin.","04/23/2015","09/02/2015","05/31/2016","09/09/2015","Lot # 120322014@1B, Exp 05/15"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1431-2015","Class II","5-Methyl Tetrahydrofolate (5-MTHF) 1 mg/ml Injectable, Sterile-Multi-Dose Vial, The Compounding Pharmacy of America, Knoxville, TN","23 ML total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    05012015@19, 7/30/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1432-2015","Class II","5-Methy Tetrahydrofolate 5 mg/ml Injectable, Sterile-Multi-Dose Vial, The Compounding Pharmacy of America, Knoxville, TN","351 ML total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    02232015@75, 5/24/2015; 03042015@22, 6/2/2015; 03172015@44, 6/15/2015; 03192015@21, 6/17/2015; 03232015@61, 6/21/2015; 03272015@49, 6/25/2015; 04132015@50, 7/12/2015; 04132015@54, 7/12/201; 04152015@35, 7/14/2015; 04162015@12, 7/15/2015; 04222015@39, 7/21/2015, 04242015@3, 7/23/2015; 05012015@53, 7/30/2015; 05062015@20, 8/4/2015; 05052015@105, 8/3/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1433-2015","Class II","Acetyl-L-Carnitine 250 mg/ml Injectable, Sterile-Multi-Dose Vial, The Compounding Pharmacy of America, Knoxville, TN","250 ML total volume","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    05042015@40, 8/2/2015; 03202015@17, 6/18/2015; 04132015@58, 7/12/2015; 04212015@5, 7/20/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1434-2015","Class II","Acetyl-L-Carnitine 500 mg/ml, Injectable, Sterile-Multi-Dose Vial, The Compounding Pharmacy of America, Knoxville, TN","33 ml total volume","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    04212015@45, 7/20/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1435-2015","Class II","Acetylcysteine 100 mg/ml Injectable, Multi-Dose Vial, Sterile, Refrigerate, The Compounding Pharmacy of America, Knoxville, TN","99 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    05042015@39, 6/8/2015; 04212015@3, 5/26/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1436-2015","Class II","Alprostadil 10 mcg/ml Injection, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN","130 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    12052014@40, 6/3/2015; 12182014@71, 6/16/2015; 01022015@12, 7/1/2015; 02112015@56, 8/10/2015; 02132015@47, 8/12/2015; 03062015@26, 9/2/2015; 03312015@23, 9/27/2015; 04162015@2, 10/13/2015; 05012015@26, 10/28/2015; 05072015@15, 11/3/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1437-2015","Class II","Alprostadil 100 mcg/ml Injection, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN","24 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;  12012014@41, 5/30/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1438-2015","Class II","Alprostadil 20 mcg/ml Injection, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN","11 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;  12172014@7, 6/15/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1439-2015","Class II","Alprostadil 40 mcg/ml Injection, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN","76 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;    01082015@34,7/7/2015; 12162014@46, 6/14/2015; 02032015@98, 8/2/2015; 02112015@79, 8/10/2015, 02192015@15, 8/18/2015"
"Drugs","No","","71371","Terminated","The Compounding Pharmacy of America","6216 Highland Place Way Ste 101-A","N/A","Knoxville","TN","	37919-4068","United States","Voluntary: Firm initiated","Telephone","Nationwide","D-1440-2015","Class II","Alprostadil 50 mcg/ml Injection, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN","7 mL total","Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility","06/02/2015","09/15/2015","02/10/2016","09/23/2015","All lots distributed between November 2014 and May 2015;  02032015@24, 8/2/2015"
