Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
Drugs,No,,95391,Ongoing,123Herbals,7214 Berne St,N/A,Rosemead,CA,"	91770-3844",United States,Voluntary: Firm initiated,E-Mail,Distributed via Amazon and 123Herbals.com website,D-0008-2025,Class I,"Vail-Bon Jie Yang Wan capsules, 30-count bottle, Vall Boon Medical Factory Sdn. Bhd., No 1, Lorong Mengkudu, Taman Mengkudu, 14100 Juru, Malaysia.",unknown,Marketed without an approved NDA/ANDA: Product found to be tainted with undeclared dexamethasone and chlorpheniramine.,9/18/2024,10/10/2024,N/A,10/16/2024,All lots within expiry
Drugs,No,10/7/2020,86022,Terminated,"4e Brands North America, Llc",17806 Ih-10 Ste 300,N/A,San Antonio,TX,"	78257",United States,Voluntary: Firm initiated,Press Release,Distributed Nationwide in the USA,D-0029-2021,Class I,"blumen Clear ADVANCED HAND SANITIZER with 70% ALCOHOL, (ethyl alcohol 70% v/v), Packaged as a) 2 fl oz / 60 ml bottle, UPC 8 14266 02371 6 b) 17 fl oz / 503 ml bottle with blue cap or pump bottle, UPC 8 14266 02409 6 c) 33.8 fl oz / 1 L straight or curved bottle, UPC 8 14266 02369 3. Distributed in USA and Canada By: 4e Brands Northamerica LLC, 17806 IH-10W, Suite 300, San Antonio, Texas, 78257, Made in Mexico.      ","17,359,247 total bottles and pumps",Chemical Contamination and Subpotent Drug: Product tested to contain methanol as well as below the labeled claim for ethanol content.,7/11/2020,10/7/2020,2/26/2024,10/7/2020,"Lot #:  a) 2141, Exp 04/04/23; 3005, Exp 05/08/23; b) 3005, Exp 05/08/23; 2879, 2892, 2911, Exp 4/23/23; 2515, Exp 4/20/23; 3270, Exp 5/09/23; c) 3095, Exp 05/07/23; 2839, Exp 04/20/23; 2879, Exp 04/23/23; 2894, Exp 04/27/23"
Drugs,No,10/7/2020,86022,Terminated,"4e Brands North America, Llc",17806 Ih-10 Ste 300,N/A,San Antonio,TX,"	78257",United States,Voluntary: Firm initiated,Press Release,Distributed Nationwide in the USA,D-0030-2021,Class I,"blumen ADVANCED INSTANT HAND SANITIZER Clear ETHYL ALCOHOL 70% natural boost with tea tree oil (70% ethyl alcohol), 33.8 fl oz / 1 L bottle, Distributed in USA and Canada by: 4e Brands 4e Brands Northamerica LLC. 17806 IH-10W, Suite 300, San Antonio, Texas, 78257. Made in Mexico. UPC 8 14266 02374 7      ",N/A,Chemical Contamination and Subpotent Drug: Product tested to contain methanol as well as below the labeled claim for ethanol content.,7/11/2020,10/7/2020,2/26/2024,10/7/2020,"Lot #: 2221, Exp 04/09/23; 2252, Exp 04/12/23"
Drugs,No,10/7/2020,86022,Terminated,"4e Brands North America, Llc",17806 Ih-10 Ste 300,N/A,San Antonio,TX,"	78257",United States,Voluntary: Firm initiated,Press Release,Distributed Nationwide in the USA,D-0031-2021,Class I,"blumen ADVANCED HAND SANITIZER 70% ALCOHOL CONTENT, (ethyl alcohol 70% v/v) Packaged as a) 3.4 fl oz / 100 ml bottle, UPC 8 14266 02359 4, b) 7.5 fl oz / 221 ml bottle, UPC 8 14266 02362 4,  Distributed in USA and Canada By: 4e Brands Northamerica LLC, 17806 IH-10W, Suite 300, San Antonio, Texas, 78257, Made in Mexico.         ","17,359,247 total bottles and pumps",Chemical Contamination and Subpotent Drug: Product tested to contain methanol as well as below the labeled claim for ethanol content.,7/11/2020,10/7/2020,2/26/2024,10/7/2020,"Lot #: a) 2141, Exp 04/40/23; 2879, Exp 04/23/23; 3005, Exp 05/08/23; b) 2911, Exp 04/23/23"
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0554-2018,Class I,"Miraculous Evil Root capsules, 1200 mg, 6-count bottle, labeling is in foreign language  ",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0555-2018,Class I,"GERMANY BLACK GOLD tablets, 2800 mg, 8-count bottle, labeling is in foreign language",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0556-2018,Class I,"GERMANY NIUBIAN tablets, 3000mg, 10-count bottle, labeling is in foreign language",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0558-2018,Class I,"LANG YI HAO CHAONONGSUOPIAN tablets, 500 mg, 8-count bottle, labeling is in foreign language    ",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0559-2018,Class I,"GOLD VIGRA capsules,  50mg, 6-count bottle, labeling is in foreign language       ",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
Drugs,No,,76644,Terminated,A&H Focal Inc.,119 Linwood Ave,N/A,Staten Island,NY,"	10305-4445",United States,Voluntary: Firm initiated,Press Release,"NY and NJ through six retail stores named ""Asian Food Markets""",D-0560-2018,Class I,"Clalis capsules, 50mg, 6-count bottle, labeling is in foreign language  ",unknown,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",3/7/2017,2/28/2018,6/14/2019,2/7/2018,All Lots
