Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
Drugs,No,,64611,Terminated,Shamrock Medical Solutions Group LLC,741 Radio Dr,N/A,Lewis Center,OH,"	43035-7134",United States,Voluntary: Firm initiated,Telephone,"Product was shipped to the following states: CO, MA, OH, TX & WY.",D-1446-2014,Class I,"Taztia XT (Diltiazem HCl) Capsules, 120 mg, Rx, Packaged and labeled as Thiamine.  Re-Packaged By: Shamrock Medical Solutions, Lewis Center, Ohio, Mfg: Watson Laboratories, Corona, CA   NDC 62037-0696-90",89/120 mg tablets,Labeling: Label Mix Up; packages labeled as Thiamine actually contain Diltiazem Capsules,9/27/2011,7/23/2014,7/31/2014,7/30/2014,"Use By: 5/31/2013, Lot: 0021OC, NDC 62037-0696-90"
Drugs,No,,64611,Terminated,Shamrock Medical Solutions Group LLC,741 Radio Dr,N/A,Lewis Center,OH,"	43035-7134",United States,Voluntary: Firm initiated,Telephone,"Product was shipped to the following states: CO, MA, OH, TX & WY.",D-1447-2014,Class I,"Oxycodone HCl Oral Concentrate, 20 mg/mL, Rx (C-II) Packaged and labeled as Morphine Sulfate 20 mg/mL, Mfg: Lannett Co. Inc., Re-Packaged By: Shamrock Medical Solutions Lewis Center, Ohio, Mfr: Cody Laboratories Inc., Cody, WY  NDC 00527-1426-36",55/1 mL/20mg/mL syringe,Labeling: Label Mix up; product labeled as Morphine Sulfate 20 mg/mL actually contained OxyCODONE HCl 20 mg/mL,9/27/2011,7/23/2014,7/31/2014,7/30/2014,Lot #: 002HZI Use By: 7/20/2013 NDC: 00527-1426-36
Drugs,No,,64611,Terminated,Shamrock Medical Solutions Group LLC,741 Radio Dr,N/A,Lewis Center,OH,"	43035-7134",United States,Voluntary: Firm initiated,Telephone,"Product was shipped to the following states: CO, MA, OH, TX & WY.",D-1448-2014,Class I,"metFORMIN ER Tablets, 500 mg, Rx, Packaged and labeled as metFORMIN Immediate Release (IR), Repackaged By: Shamrock Medical Solutions Lewis Center, Ohio, Mfr: Amneal/Interpharm, Hauppauge, NY  NDC 53746-178-01",88/5 mg tablets,Labeling: Label Mix up; product labeled did not indicated Extended Release,9/27/2011,7/23/2014,7/31/2014,7/30/2014,Lot #: 00267J Use By: 7/28/2012 NDC: 53746-178-01
Drugs,No,,62836,Terminated,Body Basics Inc,7334 Topanga Canyon Blvd Ste 119,N/A,Canoga Park,CA,"	91303-3344",United States,Voluntary: Firm initiated,Telephone,Nationwide,D-265-2013,Class I,"Actra-SX 500 Capsules, Maximum Strength, Energizer, 500 mg, 5 count package, Body Basics, Canoga Park, CA","30,000 capsules","Marketed without an Approved NDA/ANDA; product contains sildenafil, an active ingredient in a FDA approved product for the treatment of Erectile Dysfunction",12/19/2011,4/18/2013,6/5/2013,4/24/2013,"Lot number 008A, expiration date Dec 2014, UPC code 830733002016"
Drugs,No,,63684,Ongoing,"The Menz Club, LLC",103 W. Washington Street,Suite B5,Ridgeland,MS,"	39157",United States,Voluntary: Firm initiated,E-Mail,Utah,D-266-2013,Class I,"Blue Male Enhancement Pill, bulk product, by The Menz Club, Ridgeland, MS","50,000 capsules","Marketed without an Approved NDA/ANDA; product found to contain sulfoaildenafil, an analogue of sildenafil, the active ingredient in a FDA approved product used for erectile dysfunction, making it an unapproved new drug",3/10/2012,4/18/2013,N/A,4/24/2013,None
Drugs,No,,61900,Terminated,"InSo-Independent Contractor for West Coast Nutritionals,LTD",404 Bastrop Dr,N/A,Allen,TX,"	75013-4763",United States,Voluntary: Firm initiated,Press Release,"Nationwide in the United States, U.S. Virgin Islands, Puerto Rico and to the following locations:      United Kingdom, United Arab Emirates, Turkey, Trinidad & Tobago, Thailand, Taiwan, Sweden, St. Maarten, Spain, South Africa, Singapore, Saudi Arabia, Russia,  Romania, Qatar, Portugal, Poland, Philippines, Papua New Guinea, Pakistan, Oman, Norway, Nigeria, New Zealand, Netherlands Antilles, Netherlands, Mozambique, Montenegro, Mauritius, Malta, Maldives, Malaysia, Latvia, Kuwait, South Korea, Jordan, Japan, Jamaica, Italy, Ireland, Iraq, India, Hong Kong, Guatemala, Greece, Germany, France, England, Denmark, Cyprus, Curacao, Congo, Cayman Islands, Canada, Australia, Belize, and Turks and Caicos Islands.",D-326-2013,Class I,"a) Firminite 805 mg is packaged in 2 count, 4 count, and 10 count capsules blister packs in a box, WWW.FIRMINITE.COM, b) Libidron 410 mg  is packaged in 2 count, 4 count, and 10 count capsules blister packs in a box, WWW.LIBIDRON.COM , c)Extra Strength Instant Hot Rod 496 mg is packaged in 4 count and 10 count capsule blister packs in a box, www.HotRodExtraStrength.com","8,000 blister packs","Marketed Without an Approved NDA/ANDA: These products found to contain undeclared tadalafil. Tadalafil is an FDA-approved drug for the treatment of male Erectile Dysfunction (ED), making these products unapproved new drugs.",5/18/2012,5/16/2013,8/27/2015,5/22/2013,All lots
Drugs,No,,63258,Terminated,Genentech Inc,1 DNA Way,N/A,South San Francisco,CA,"	94080-4990",United States,Voluntary: Firm initiated,E-Mail,Nationwide,D-135-2013,Class I,"Trastuzumab Kit containing 1 vial Trastuzumab (nominal content: 440 mg); 1 20 mL multiple dose vial Bacteriostatic Water for Injection, USP (1.1% benzyl alcohol), Manufactured by Hospira, Inc., for Genentech, Inc., South San Francisco, CA  94080-4990, NDC 50242-903-69; and 1 Reconstitution Instructions per kit; Investigation Use only, Genentech, Inc., 1 DNA Way, South San Francisco, CA  94080-4990.  ","2,140 kits","Presence of Particulate Matter: One lot of Bacteriostatic Water for Injection, USP diluent vials that were packed with Trastuzumab Kits for investigational use has the potential to contain glass particulates.",7/30/2012,1/22/2013,3/25/2013,1/30/2013,"Lot #: 454138, Exp 07/14 (containing Trastuzumab Lot #: 886618, Exp 12/14; and Bacteriostatic Water for Injection, USP Lot #: 08-368-DK-01, Exp 07/14)"
Drugs,No,,63232,Terminated,Evol Nutrition,1075 Cobb International Pl NW Ste F,N/A,Kennesaw,GA,"	30152-7665",United States,Voluntary: Firm initiated,Press Release,Nationwide,D-327-2013,Class I,"Mojo Nights, 1 capsule, UPC 7 18122 11983 7, Distributed By: Mojo Health Lauderhill, FL 33351",1000 blister packs (total both products),"Marketed Without an Approved NDA/ANDA:  The products were found to contain FDA approved ingredients and analogues of FDA approved ingredients used to treat male erectile dysfunction, making them unapproved new drugs.",8/23/2012,5/16/2013,7/22/2013,5/22/2013,"All lots, no Expiry"
Drugs,No,,63232,Terminated,Evol Nutrition,1075 Cobb International Pl NW Ste F,N/A,Kennesaw,GA,"	30152-7665",United States,Voluntary: Firm initiated,Press Release,Nationwide,D-328-2013,Class I,"Mojo Nights for Her, 1 capsule, UPC 7 18122 12133 5, Distributed By: Mojo Health Lauderhill, FL 33351",1000 blister packs (total both products),"Marketed Without an Approved NDA/ANDA:  The products were found to contain FDA approved ingredients and analogues of FDA approved ingredients used to treat male erectile dysfunction, making them unapproved new drugs.",8/23/2012,5/16/2013,7/22/2013,5/22/2013,All lots no Expiry
Drugs,No,,63364,Terminated,Hospira Inc.,275 N Field Dr,N/A,Lake Forest,IL,"	60045-2579",United States,Voluntary: Firm initiated,Letter,Nationwide,D-922-2013,Class I,"0.9% Sodium Chloride Injection, USP, 100 mL flexible container, Rx only, Hospira, Inc. Lake Forest, IL 60045 --- NDC 0409-7984-23","264,432 bags",Presence of Particulate Matter; product may contain fibrous material,8/31/2012,8/26/2013,5/28/2015,9/4/2013,"Lot Number 05-201-JT, Expiration Date 1MAY2013"
